ReportName,MyReportName,AverageManualScore,file_name,release_date,sentiment_score_blob,sentiment_score_vader,sentiment_score_lm
COMBINED-Q4-17-Shareholder-Letter-FINAL,COMBINED-Q4-17-Shareholder-Letter-FINAL,0.6,COMBINED-Q4-17-Shareholder-Letter-FINAL,"January 22, 2018",0.1501449836712994,0.086,15.0
FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,0.3333333333,FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,"July 15, 2015",0.1156905656999641,0.123,23.0
FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,0.1666666667,FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,"October 14, 2015",0.1001854590644625,0.088,16.0
FINAL_Q3_Letter,FINAL_Q3_Letter,0.4833333333,FINAL_Q3_Letter,"October 17, 2016",0.1124685090210568,0.103,23.0
FINAL-Q1-18-Shareholder-Letter,FINAL-Q1-18-Shareholder-Letter,0.5,FINAL-Q1-18-Shareholder-Letter,"April 16, 2018",0.114444907738899,0.063,4.0
FINAL-Q1-19-Shareholder-Letter,FINAL-Q1-19-Shareholder-Letter,0.4166666667,FINAL-Q1-19-Shareholder-Letter,"April 16, 2019",0.1412239183818131,0.072,29.0
FINAL-Q1-20-Shareholder-Letter,FINAL-Q1-20-Shareholder-Letter,0.0,FINAL-Q1-20-Shareholder-Letter,"April 21, 2020",0.0954708859215902,0.08,1.0
FINAL-Q1-21-Shareholder-Letter,FINAL-Q1-21-Shareholder-Letter,0.4166666667,FINAL-Q1-21-Shareholder-Letter,"April 20, 2021",0.1011061204934722,0.098,12.0
FINAL-Q1-22-Shareholder-Letter,FINAL-Q1-22-Shareholder-Letter,-0.08333333333,FINAL-Q1-22-Shareholder-Letter,"April 19, 2022",0.107183796490248,0.113,22.0
Final-Q1-23-Shareholder-Letter,Final-Q1-23-Shareholder-Letter,0.5166666667,Final-Q1-23-Shareholder-Letter,"April 18, 2023",-0.0295197740112994,0.0079999999999999,-2.0
FINAL-Q2-18-Shareholder-Letter,FINAL-Q2-18-Shareholder-Letter,0.3333333333,FINAL-Q2-18-Shareholder-Letter,"July 16, 2018",0.1085364623991672,0.068,13.0
FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,0.3333333333,FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,"July 16, 2020",0.1040259846362787,0.06,13.0
FINAL-Q2-21-Shareholder-Letter,FINAL-Q2-21-Shareholder-Letter,0.3333333333,FINAL-Q2-21-Shareholder-Letter,"July 20, 2021",0.0886768245585673,0.0799999999999999,27.0
FINAL-Q2-22-Shareholder-Letter,FINAL-Q2-22-Shareholder-Letter,0.3333333333,FINAL-Q2-22-Shareholder-Letter,"July 19, 2022",0.088338115372999,0.097,30.0
FINAL-Q2-23-Shareholder-Letter,FINAL-Q2-23-Shareholder-Letter,0.4166666667,FINAL-Q2-23-Shareholder-Letter,"July 19, 2023",-0.0291666666666666,0.012,-2.0
FINAL-Q3-18-Shareholder-Letter,FINAL-Q3-18-Shareholder-Letter,0.4166666667,FINAL-Q3-18-Shareholder-Letter,"October 16, 2018",0.1123968039963802,0.086,14.0
FINAL-Q3-19-Shareholder-Letter,FINAL-Q3-19-Shareholder-Letter,0.25,FINAL-Q3-19-Shareholder-Letter,"October 16, 2019",0.1233856811356811,0.096,30.0
FINAL-Q3-20-Shareholder-Letter,FINAL-Q3-20-Shareholder-Letter,-0.08333333333,FINAL-Q3-20-Shareholder-Letter,"October 20, 2020",0.1066519946152534,0.095,27.0
